Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Debt to equity,FII holding,Public holding,Change in FII holding,Promoter holding,Change in promoter holding,Pledged percentage,DII holding,Change in DII holding,ROCE3yr avg,PEG Ratio,Dividend yield
Adani Energy Sol,539254,ADANIENSOL,Power,Power Distribution,986.20,52.56,118538.01,1.83,13.06,5.79,-2.79,71.20,0.00,0.79,9.97,3.08,9.81,2.08,0.00
Adani Green,541450,ADANIGREEN,Power,Power Generation,1140.00,84.50,185138.36,4.52,11.29,23.30,-0.29,62.43,0.52,0.00,2.98,0.12,8.76,1.50,0.00
Adani Power,533096,ADANIPOWER,Power,Integrated Power Utilities,157.85,25.31,304540.03,0.70,11.53,10.82,-0.93,74.96,0.00,1.81,2.70,0.94,23.53,0.67,0.00
Avenue Super.,540376,DMART,Retailing,Diversified Retail,4153.50,98.89,270217.04,0.07,8.73,7.53,0.48,74.65,0.00,0.00,9.02,-0.20,19.15,4.54,0.00
Axis Bank,532215,AXISBANK,Banks,Private Sector Bank,1232.80,14.72,382561.83,7.28,41.89,7.06,-1.92,8.16,-0.01,0.00,42.87,1.65,6.43,0.57,0.08
B P C L,500547,BPCL,Petroleum Products,Refineries & Marketing,356.80,7.19,154776.24,0.75,16.53,8.25,1.08,52.98,0.00,0.00,21.31,-0.87,18.37,0.90,2.80
Bank of Baroda,532134,BANKBARODA,Banks,Public Sector Bank,278.40,7.49,143997.12,10.53,8.71,8.30,0.63,63.97,0.00,0.00,18.93,0.14,5.93,0.20,3.00
Bharat Electron,500049,BEL,Aerospace & Defense,Aerospace & Defense,426.10,54.68,311431.68,0.00,18.14,9.84,-0.42,51.14,0.00,0.00,20.88,0.28,34.47,1.80,0.56
Canara Bank,532483,CANBK,Banks,Public Sector Bank,136.99,6.49,124296.26,14.05,11.89,12.92,0.51,62.93,0.00,0.00,12.23,0.82,6.25,0.15,2.92
CG Power & Ind,500093,CGPOWER,Electrical Equipment,Heavy Electrical Equipment,736.65,108.68,116115.31,0.02,13.02,14.35,0.35,56.37,-1.68,0.00,16.26,-0.07,48.47,9.89,0.18
Cipla,500087,CIPLA,Pharmaceuticals & Biotechnology,Pharmaceuticals,1501.30,22.28,121239.20,0.01,24.54,15.99,-0.70,29.21,0.02,0.00,29.98,1.00,21.18,0.86,0.87
Coal India,533278,COALINDIA,Consumable Fuels,Coal,388.65,7.67,239483.55,0.13,7.96,5.98,-0.20,63.13,0.00,0.00,22.80,0.14,63.06,0.29,6.82
DLF,532868,DLF,Realty,"Residential, Commercial Projects",756.25,48.49,187159.30,0.04,15.46,5.25,-0.52,74.08,0.00,0.00,5.21,0.20,5.62,1.18,0.79
Eternal Ltd,543320,ETERNAL,Retailing,E-Retail/ E-Commerce,317.75,1632.15,306843.67,0.11,39.04,25.12,-3.30,0.00,0.00,0.00,30.04,3.55,-0.66,51.70,0.00
GAIL (India),532155,GAIL,Gas,Gas Transmission/Marketing,182.76,13.31,120159.96,0.25,13.72,6.92,-1.19,51.88,0.00,0.00,19.88,0.95,12.82,-2.84,4.10
Godrej Consumer,532424,GODREJCP,Personal Products,Personal Care,1118.60,60.77,114398.01,0.34,18.23,15.11,-1.12,53.07,0.00,0.79,13.58,1.18,18.31,37.98,1.34
H P C L,500104,HINDPETRO,Petroleum Products,Refineries & Marketing,476.00,7.27,101284.35,1.38,14.48,8.37,0.93,54.90,0.00,0.00,22.24,-0.92,7.90,-3.51,2.21
HCL Technologies,532281,HCLTECH,IT - Software,Computers - Software & Consulting,1541.50,24.64,418311.48,0.10,16.64,4.41,-1.92,60.81,0.00,0.00,17.80,1.63,29.82,2.82,3.50
HDFC AMC,541729,HDFCAMC,Capital Markets,Asset Management Company,5379.00,41.96,115236.78,0.00,24.69,8.74,2.72,52.42,-0.02,0.00,14.13,-2.53,37.79,2.01,0.84
HDFC Bank,500180,HDFCBANK,Banks,Private Sector Bank,987.30,20.98,1518217.01,6.30,48.38,15.33,-0.46,0.00,0.00,0.00,36.07,0.30,7.14,0.91,1.11
HDFC Life Insur.,540777,HDFCLIFE,Insurance,Life Insurance,731.85,83.37,157846.04,0.14,24.82,10.32,0.07,50.25,-0.03,0.00,14.59,0.02,7.20,10.63,0.29
Hind. Unilever,500696,HINDUNILVR,Diversified FMCG,Diversified FMCG,2465.50,54.76,579291.73,0.04,10.79,11.62,0.61,61.90,0.00,0.00,15.62,-0.37,27.21,10.22,1.74
Hindustan Zinc,500188,HINDZINC,Non - Ferrous Metals,Zinc,476.50,19.25,201315.38,0.82,1.32,4.00,-0.04,61.84,0.00,90.28,4.92,0.11,52.46,7.52,6.09
Hyundai Motor I,544274,HYUNDAI,Automobiles,Passenger Cars & Utility Vehicles,2438.70,35.31,198174.93,0.05,7.34,2.42,0.26,82.50,0.00,0.00,7.73,-0.02,46.25,1.46,0.86
